"","trt","code","value","time","row","column","temperature","B12","bacteria","rep","combined.trt","dtime","type"
"75","B1","X13",91.6838,2024-02-28 10:59:00,"B",1,"13","1","1",1,"13 1 1 1",8.96111111111111,"1 1"
"76","B1","X13",20.676,2024-02-22 11:30:00,"B",1,"13","1","1",1,"13 1 1 1",2.98263888888889,"1 1"
"77","B1","X13",83.6806,2024-03-01 11:59:00,"B",1,"13","1","1",1,"13 1 1 1",11.0027777777778,"1 1"
"78","B1","X13",78.8618,2024-02-25 11:35:00,"B",1,"13","1","1",1,"13 1 1 1",5.98611111111111,"1 1"
"79","B1","X13",99.3392,2024-02-26 11:31:00,"B",1,"13","1","1",1,"13 1 1 1",6.98333333333333,"1 1"
"80","B1","X13",35.8452,2024-02-23 11:31:00,"B",1,"13","1","1",1,"13 1 1 1",3.98333333333333,"1 1"
"81","B1","X13",85.2288,2024-02-29 11:03:00,"B",1,"13","1","1",1,"13 1 1 1",9.96388888888889,"1 1"
"82","B1","X13",49.8006,2024-02-24 11:06:00,"B",1,"13","1","1",1,"13 1 1 1",4.96597222222222,"1 1"
"83","B1","X13",13.4122,2024-02-21 11:02:00,"B",1,"13","1","1",1,"13 1 1 1",1.96319444444444,"1 1"
"84","B1","X13",9.1312,2024-02-20 11:03:00,"B",1,"13","1","1",1,"13 1 1 1",0.963888888888889,"1 1"
"85","B1","X20",27.88,2024-02-19 11:55:00,"B",1,"20","1","1",1,"20 1 1 1",0,"1 1"
"86","B1","X20",150.7162,2024-02-27 11:38:00,"B",1,"20","1","1",1,"20 1 1 1",7.98819444444444,"1 1"
"87","B1","X20",113.3366,2024-02-28 10:59:00,"B",1,"20","1","1",1,"20 1 1 1",8.96111111111111,"1 1"
"88","B1","X20",110.7348,2024-02-22 11:30:00,"B",1,"20","1","1",1,"20 1 1 1",2.98263888888889,"1 1"
"89","B1","X20",69.7622,2024-03-01 11:59:00,"B",1,"20","1","1",1,"20 1 1 1",11.0027777777778,"1 1"
"90","B1","X20",137.7102,2024-02-25 11:35:00,"B",1,"20","1","1",1,"20 1 1 1",5.98611111111111,"1 1"
"91","B1","X20",136.0244,2024-02-26 11:31:00,"B",1,"20","1","1",1,"20 1 1 1",6.98333333333333,"1 1"
"92","B1","X20",162.4044,2024-02-23 11:31:00,"B",1,"20","1","1",1,"20 1 1 1",3.98333333333333,"1 1"
"93","B1","X20",91.8976,2024-02-29 11:03:00,"B",1,"20","1","1",1,"20 1 1 1",9.96388888888889,"1 1"
"94","B1","X20",131.5622,2024-02-24 11:06:00,"B",1,"20","1","1",1,"20 1 1 1",4.96597222222222,"1 1"
"95","B1","X20",73.7054,2024-02-21 11:02:00,"B",1,"20","1","1",1,"20 1 1 1",1.96319444444444,"1 1"
"96","B1","X20",24.1302,2024-02-20 11:03:00,"B",1,"20","1","1",1,"20 1 1 1",0.963888888888889,"1 1"
"97","B1","X22",32.1666,2024-02-19 11:55:00,"B",1,"22","1","1",1,"22 1 1 1",0,"1 1"
"98","B1","X22",139.7362,2024-02-27 11:38:00,"B",1,"22","1","1",1,"22 1 1 1",7.98819444444444,"1 1"
"99","B1","X22",97.9704,2024-02-28 10:59:00,"B",1,"22","1","1",1,"22 1 1 1",8.96111111111111,"1 1"
"100","B1","X22",139.3288,2024-02-22 11:30:00,"B",1,"22","1","1",1,"22 1 1 1",2.98263888888889,"1 1"
"101","B1","X22",68.0876,2024-03-01 11:59:00,"B",1,"22","1","1",1,"22 1 1 1",11.0027777777778,"1 1"
"102","B1","X22",184.9206,2024-02-25 11:35:00,"B",1,"22","1","1",1,"22 1 1 1",5.98611111111111,"1 1"
"103","B1","X22",148.5014,2024-02-26 11:31:00,"B",1,"22","1","1",1,"22 1 1 1",6.98333333333333,"1 1"
"104","B1","X22",155.2516,2024-02-23 11:31:00,"B",1,"22","1","1",1,"22 1 1 1",3.98333333333333,"1 1"
